SKU,Item Name,Category,Subcategory,Measure Type,Base UOM,Reporting UOM,Inventory UOM,Cost Account,Inventory Account
"1113673","Sea Salt 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"1113815","Carrot, Baby Rainbow 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"1115673-B06","Chateau Calon Segur 2016 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1116178","American Cheese, Loaf 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"1116547-B06","Chateau Les Carmes Haut Brion 2016 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1117021-B06","Clos Fourtet 2016 750ml","wine","","Each","ea","ea","ea","5000","1400"
"11201270","Crab Meat, Lump 1tin","seafood","","Each","ea","ea","tin","5000","1400"
"1121609","Noni Fruit Seed Oil 35lb","grocery","","Volume","oz","oz","lb","5000","1400"
"11235532","Branzino, Euro 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"1123743","bell pepper mix 10lb","produce","","Volume","oz","oz","lb","5000","1400"
"11238503","Dover Sole 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"1124343","PEPPER JALAPENO SLCD 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"1124443-C06","Chateau Cos d'Estournel, 'Le Medoc de Cos' 2016 750ml","wine","","Each","ea","ea","ea","5000","1400"
"11248000","Hiramasa (Yellowtail/King Fish) 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"11256","Black Garlic 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"1139691-B12","Chateau Cos d'Estournel 1990 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1141359-B06","Chateau Nenin 1998 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1146440-C06","Hetszolo, '5 Puttonyos', Tokaji 2010 500ml","wine","","Each","ea","ea","ea","5000","1400"
"11485","Micro Citrus Mix 1each","produce","","Each","ea","ea","each","5000","1400"
"11695955","Luna Nueva Blanco 750ml","liquor","","Each","ea","ea","ea","5000","1400"
