Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
"13241","","13241","Each","Hon Dashi Soup Stock 1kg",1,,,Y,
"13593","","13593","Each","Sherry Vinegar 1gal",128,,,Y,
"137842-B12","","137842-B12","Each","Chateau Haut Brion 1982 750ml",1,,,Y,
"13886","","13886","Case","Butter, European Style 1lb",576,,,Y,
"14204","","14204","Each","Mozzarella Cheese Ovaline 3lb",48,,,Y,
"16096","","16096","Case","Pomegrante Seeds 1each",3,,,Y,
"16801","","16801","Case","Mozzarella Cheese Perlini 1lb",48,,,Y,
"1773","","1773","Each","Sambal Oelek, Sauce 18oz",18,,,Y,
"18338","","18338","Case","Raspberry Sorbet 1gal",160,,,Y,
"18714","","18714","Each","Petite Red Sorrel 1pack",1,,,Y,
"19064","","19064","Case","Red Gem Lettuce 1lb",6,,,Y,
"19347","","19347","Case","Watercress 1lb",24,,,Y,
"19348","","19348","Case","Squash Flower, Male 1each",25,,,Y,
"20422","","20422","Case","Sushi Rice 1lb",640,,,Y,
"20821","","20821","Case","Eel Sauce 1lb",83.2,,,Y,
"21798","","21798","Case","Cotija Cheese 1lb",80,,,Y,
"22444","","22444","Each","Pea Tendrils 1lb",16,,,Y,
"22559","","22559","Each","Saffron 1oz",1,,,Y,
"22702","","22702","Each","Yakiniku sauce Bansankan 1each",1,,,Y,
"22855","","22855","Case","MZKN MUSTARD & SHOYU DRS 32oz",192,,,Y,
"23152505","","23152505","Case","Rock Shrimp 1lb",80,,,Y,
"23158018","","23158018","Case","Lobster Meat, Frozen 1lb",64,,,Y,
"23401","","23401","Case","Basmati Rice 1lb",400,,,Y,
"23510","","23510","Case","Popcorn Kernels 30oz",120,,,Y,
"23697","","23697","Each","Miyako Tempura Batter Mix 1each",1,,,Y,
"24723","","24723","Each","Sumac 18oz",18,,,Y,
"25015","","25015","Case","Kosher Salt 1lb",432,,,Y,
"25267","","25267","Each","Micro Carrot Top 1pack",1,,,Y,
"25550","","25550","Each","Sambal Sauce 1gal",128,,,Y,
"27040","","27040","Case","Pink Radish 1each",12,,,Y,
"27572","","27572","Case","Agrumato, Lemon 250ml",1500,,,Y,
"27668","","27668","Case","Dark Chocolate Chips, Vegan 1lb",400,,,Y,
"27694","","27694","Case","Wonton Wrapper 14oz",168,,,Y,
"27981","","27981","Each","Paprika, Smoked 1lb",16,,,Y,
"28127","","28127","Case","Soy Milk 32fl.oz",192,,,Y,
