SKU,Item Name,Vendor Code,Purchase UOM,Pack Size,Inventory UOM,Conversion Factor,Measure Type,Recipe UOM
BARC000024,"Fresno Red 1lb","3547205","case","5/1lb","lb",80,Each,"oz"
BARC000024,"Fresno Red 1lb","20652","case","3/1lb","lb",48,Each,"oz"
IT222371,"Giffard Orgeat 1L","222371","bottle","1L","L",33.814,Each,"oz"
BARC000025,"Ginger Syrup 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000026,"Ginger Syrup 1gal","","bottle","1gal","gal",128,Each,"oz"
IT778,"Granulated Sugar - Bev 1lb","10991","case","50/1lb","lb",800,Each,"oz"
IT778,"Granulated Sugar - Bev 1lb","778","case","25/1lb","lb",400,Each,"oz"
IT13301,"Grapefruit - Bev 1each","","bottle","750mL","mL",25.3605,Each,"oz"
IT13301,"Grapefruit - Bev 1each","13301","case","150/1each","each",150,Each,"oz"
BARC000027,"Grapefruit 1 each - Bev 1each","1409","case","32/1each","each",32,Each,"oz"
BARC000028,"Grapefruit Juice 1gal","","bottle","1gal","gal",128,Each,"oz"
IT2814800,"Grapefruit Juice 7.2fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
IT2814800,"Grapefruit Juice 7.2fl.oz","2814800","case","24/7.2oz","oz",172.8,Each,"oz"
IT91282,"Grenadine, Daily's 1L","91282","bottle","1L","L",33.814,Each,"oz"
IT4404BO0631A,"Guava Puree - Bev 1kg","4404BO0631A","case","6/1kg","kg",6,Each,"oz"
IT4404BO0631A,"Guava Puree - Bev 1kg","4404BO0631A","bottle","1kg","kg",1,Each,"oz"
IT327,"Honey - Bev 1lb","327","case","5/1lb","lb",80,Each,"oz"
GH100,"Honey Pure 5lb","GH100","bottle","5lb","lb",80,Each,"oz"
BARC000029,"Kiwi Juice 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000029,"Kiwi Juice 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000030,"La Colombe Cold Brew Concentrate BIB 3gal","","bottle","3gal","gal",384,Each,"oz"
BARC000030,"La Colombe Cold Brew Concentrate BIB 3gal","","bottle","3gal","gal",384,Each,"oz"
IT9032418,"Lawrys Seasoning Salt 1each","9032418","bottle","1each","each",1,Each,"oz"
IT1410,"Lemon - Bev 1each","1417","case","140/1each","each",140,Each,"oz"
IT1410,"Lemon - Bev 1each","41417","case","88/1each","each",88,Each,"oz"
IT1410,"Lemon - Bev 1each","1410","case","115/1each","each",115,Each,"oz"
IT1410,"Lemon - Bev 1each","13003","case","84/1each","each",84,Each,"oz"
IT1410,"Lemon - Bev 1each","1417","case","165/1each","each",165,Each,"oz"
IT4384293,"Lemon - Bev 1lb","","bottle","1L","L",33.814,Each,"oz"
IT4384293,"Lemon - Bev 1lb","4384293","case","40/1lb","lb",640,Each,"oz"
IT4384293,"Lemon - Bev 1lb","25279","case","5/1lb","lb",80,Each,"oz"
BARC000031,"Lemon Juice - Bev 1gal","","bottle","1gal","gal",128,Each,"oz"
BARC000031,"Lemon Juice - Bev 1gal","","case","4/1gal","gal",512,Each,"oz"
BARC000032,"Lemon Juice 10L BIB 10L","","bottle","10L","L",338.14,Each,"oz"
BARC000032,"Lemon Juice 10L BIB 10L","","bottle","10L","L",338.14,Each,"oz"
BARC000033,"Lemon Juice 1gal","","bottle","1gal","gal",128,Each,"oz"
BARC000033,"Lemon Juice 1gal","","bottle","1gal","gal",128,Each,"oz"
IT1421,"Lime 1each","1420","case","150/1each","each",150,Each,"oz"
IT1421,"Lime 1each","4930407","case","2/1each","each",2,Each,"oz"
IT1421,"Lime 1each","4930407","case","250/1each","each",250,Each,"oz"
IT1421,"Lime 1each","1420","case","175/1each","each",175,Each,"oz"
IT1421,"Lime 1each","1420","case","200/1each","each",200,Each,"oz"
IT1421,"Lime 1each","9575","case","5/1each","each",5,Each,"oz"
IT1421,"Lime 1each","1421","case","115/1each","each",115,Each,"oz"
IT1421,"Lime 1each","1422","bottle","1each","each",1,Each,"oz"
IT1421,"Lime 1each","1421","case","230/1each","each",230,Each,"oz"
IT1421,"Lime 1each","13103","case","88/1each","each",88,Each,"oz"
PRD0598,"Lime 1lb","","bottle","1L","L",33.814,Each,"oz"
PRD0598,"Lime 1lb","PRD0598","case","10/1lb","lb",160,Each,"oz"
PRD0598,"Lime 1lb","9575","case","5/1lb","lb",80,Each,"oz"
PRD0598,"Lime 1lb","3305109","case","40/1lb","lb",640,Each,"oz"
BARC000034,"Lime Juice 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000035,"Lime Juice 10L BIB 10L","","bottle","10L","L",338.14,Each,"oz"
BARC000035,"Lime Juice 10L BIB 10L","","bottle","10L","L",338.14,Each,"oz"
BARC000036,"Lime Juice 1gal","","bottle","1gal","gal",128,Each,"oz"
BARC000036,"Lime Juice 1gal","","case","3/1gal","gal",384,Each,"oz"
BARC000036,"Lime Juice 1gal","","case","4/1gal","gal",512,Each,"oz"
BARC000036,"Lime Juice 1gal","","bottle","1gal","gal",128,Each,"oz"
BARC000037,"Lime Juice 1L","","case","3/1L","L",101.442,Each,"oz"
BARC000038,"Lime Juice 1quart","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000038,"Lime Juice 1quart","","bottle","1qt","qt",32,Each,"oz"
IT983135,"Liquid Alchemist Blood Orange 375ml","983135","case","6/375mL","mL",76.0815,Each,"oz"
IT991802,"Liquid Alchemist Blood Orange 750ml","991802","case","6/750mL","mL",152.163,Each,"oz"
IT991802,"Liquid Alchemist Blood Orange 750ml","991802","bottle","750mL","mL",25.3605,Each,"oz"
IT991802,"Liquid Alchemist Blood Orange 750ml","","case","1ea","ea",1,Each,"oz"
