invoice_id,invoice_number,vendor,date,invoice_total,missing_value,storage_path
e1e2e78d-486b-4cec-84af-03c2dede5c56,70923428,Chefs Warehouse Midwest LLC,2026-01-19,2700.14,2684.64,uploads/1769305053117-invoices 5_pg12-12.pdf
d6ad8d7a-e7e1-4d20-955c-6f889804f686,187374,Allen Brothers Texas,2026-01-19,1259.17,1153.64,uploads/1769302071872-invoices 5_pg10-10.pdf
f3619f88-779b-4740-a6f5-b45975c3b5d1,26-79627,SEAFOOD SUPPLY COMPANY,2026-01-19,1156.9,470.5600000000002,uploads/1769304134690-Kitchen Invoices 6_pg9-9.pdf
fc2fb081-5a6e-45b7-ba0a-15f050f37dc6,01532086,Chef's Produce,2026-01-19,0,1174.39,uploads/1769302162554-invoices 5_pg5-5.pdf
d8c9ddf1-19af-4c8b-a3c7-1ba32a5e9cfc,LDFW1927872,Alsco Uniforms,2026-01-19,129.54,14.810000000000002,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310754164-New7_page10.pdf
0356a424-7171-4c1c-bb14-962fd4106d05,187374,Texas Roadhouse Steaks,2026-01-19,1259.17,1249.67,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769311056501-New7_page8.pdf
bcd6ebf3-bc54-4b55-87c7-23a1c747485b,16900368,Spec's Wine, Spirits & Finer Foods,2026-01-17,2611.66,2175.3600000000015,
06709d2a-2c7d-4b9d-abb2-6287f8072e3c,977479,Mr. Greens,2026-01-16,677.1,100.95000000000005,uploads/1769302115810-invoices 5_pg13-13.pdf
0d50d9c2-5625-4aa5-b30b-8ede4c6d5912,INV1876569,Johnson Brothers Maverick of Texas,2026-01-16,18235.16,10361.66,uploads/1769292489606-Jan_23__Doc_3.pdf
c3371fb6-4ef7-4cd0-81a0-1d6331b0591b,85798587,Delilah Data LLC,2026-01-15,257.34,2333.8799999999997,uploads/1769304942598-INVOICE 4_pg7-7.pdf
4ddc1798-7336-433d-8c08-da3fe8470244,7173361,Republic National Distributing Company,2026-01-14,264702.51,238806.34,uploads/1769292489606-Jan_23__Doc_3.pdf
18b144d7-a751-445d-b906-efc180cf1f74,195459,Allen Brothers Texas,2026-01-14,1045.94,914.3600000000001,uploads/1769304843600-INVOICE 4_pg12-12.pdf
121556d9-93e1-4e5a-a844-744ae3213085,195469,Allen Brothers Texas,2026-01-14,854.05,738.6999999999999,uploads/1769301901372-INVOICE 4_pg12-12.pdf
c4a3773e-aa14-4e9a-973d-ee121e75d0b2,70875013,The Chefs Warehouse,2026-01-14,754.69,429.69000000000005,uploads/1769301880347-INVOICE 4_pg11-11.pdf
4c409b22-27c2-47e5-a783-344cac9a2dca,16880351,Spec's Wine, Spirits & Finer Foods,2026-01-13,8142.52,276.71000000000095,uploads/1769292169615-Jan_23__Doc_3.pdf
a121878a-f954-44d9-b1a3-2fbed8a5dc79,01529490,Chef's Produce,2026-01-13,487.45,285.89,uploads/1769303810028-Kitchen Invoices 3_pg13-13.pdf
650caa6e-bdc7-4693-8c05-e2bf04dc3780,INV1876688,Johnson Brothers of Texas,2026-01-13,18236.16,8572.720000000001,uploads/1769292489606-Jan_23__Doc_3.pdf
22a113b7-c556-46c1-86ef-820463d8542b,70859984,Chefs Warehouse Midwest LLC,2026-01-13,2928.2,2908.2,uploads/1769306219148-Kitchen Invoices 3_pg10-10.pdf
fc8dc37b-cbf0-4ea9-8f13-74e4d7ca754a,70859984,The Chefs Warehouse,2026-01-13,2928.2,2543.2,uploads/1769303893208-Kitchen Invoices 3_pg8-8.pdf
90b6ee20-339a-476a-af53-7b3eb677d0eb,26-7537773,SEAFOOD SUPPLY COMPANY,2026-01-13,1032.96,1011.76,uploads/1769306326663-Kitchen Invoices 3_pg5-5.pdf
d7fb6c38-fc28-4d40-8e72-a588ac1d9bd0,70846878,Chefs Warehouse Midwest LLC,2026-01-12,1422.32,458.3699999999999,uploads/1769302265587-Invoices Kitchen_pg2-2.pdf
7bd15598-7e8a-460e-9e55-d3bc31b41f43,70846878,The Chefs Warehouse,2026-01-12,1422.32,552.4499999999998,uploads/1769302841446-Invoices Kitchen_pg2-2.pdf
4b8874be-cf6b-408e-bd4e-a28e513021c8,974296,Mr. Greens,2026-01-12,441.8,128.45000000000005,uploads/1769303275737-Invoices Kitchen (2)_pg6-6.pdf
6d99440e-4274-483c-bda0-7f5915441d9e,55703540,Delilah Dallas LLC,2026-01-11,62.64,1808.06,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306290105-INVOICE 4_pg2-2.pdf
8e33de98-3b81-4110-a2ca-c318dbd5dd2d,973102,Mr. Greens,2026-01-10,181.57,38,uploads/1769303247737-Invoices Kitchen (2)_pg5-5.pdf
f35f6df0-f1ee-4641-9282-261eecb1a6ca,01527696,Chef's Produce,2026-01-09,531.96,392.28000000000003,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769308068635-New2_page10.pdf
12655edf-809b-4b2a-bb09-907273c08ef5,972424,Mr. Greens,2026-01-09,647.04,328.04999999999995,uploads/1769303107243-Invoices Kitchen (2)_pg10-10.pdf
815616ac-8103-4199-a3e9-617b327e7d33,70823755,The Chefs Warehouse,2026-01-09,676.39,537.0799999999999,uploads/1769303583739-Invoics Kitchen_pg23-23.pdf
